Well.x,SAMPLE,GENE.x,brain.region,CT,CT.MEAN,CT.SD,Well.y,GENE.y,actb._C,actb.mean,actb.SD,Nest.id,ABC,Location,Treatment,Date,Age,Habitat,Cowbird,Tarsus.1,Tarsus.2,Tarsus.3,Tarsus.4,Tarsus.5,Tarsus.avg,Wing.Chord.1,Wing.Chord.2,Wing.Chord.3,Wing.Chord.4,Wing.Chord.5,Wing.chord.avg.,Bill.w,Bill.d,Bill.l,Pin,Feather,Pin.b,Tail.pin,Tail.feather,Measurer,Mass,delta.ct,delta.ctmean,dd.ct,RQ
B7,HP-45,GR,HP,27.0415287,27.03052902,0.015555896,H5,ACTB,19.43477631,19.39290428,0.059215985,18SJL22,A,SVT,Urban.BHCO,6/18/22,9,Urban,Yes,20.8,20.45,20.55,20.28,20.38,20.492,35.13,35.24,35.48,35.4,35.06,35.262,5.06,3.98,6.18,21.55,15.75,6.65,9.67,4.2,DSM,14.5,7.63762474,7.707023524,-0.069398784,1.049279325
H7,HP-46,MR,HP,24.99244881,25.07590866,0.118030056,H7,ACTB,18.83279419,18.79921722,0.04748635,33IJV22,A,STREAM,Rural,6/17/22,6,Rural,No,20.66,20.54,20.47,20.87,20.65,20.638,24.34,24.45,25.01,24.65,24.99,24.688,4.25,3.82,5.24,12.74,0.68,11.8,3.48,1.32,DSM,12.3,6.27669144,5.779763412,0.496928029,0.708614048
B9,HP-46,GR,HP,25.75945854,25.79839325,0.055061992,H7,ACTB,18.83279419,18.79921722,0.04748635,33IJV22,A,STREAM,Rural,6/17/22,6,Rural,No,20.66,20.54,20.47,20.87,20.65,20.638,24.34,24.45,25.01,24.65,24.99,24.688,4.25,3.82,5.24,12.74,0.68,11.8,3.48,1.32,DSM,12.3,6.99917603,7.707023524,-0.707847494,1.633365312
H9,HP-47,MR,HP,24.32782936,24.32036972,0.010550873,H9,ACTB,18.93305016,18.94045258,0.010467255,33IJV22,B,STREAM,Rural,6/17/22,6,Rural,No,20.88,21.14,20.63,20.7,20.78,20.826,28.96,28.68,28.66,29.08,29.02,28.88,4.87,3.77,5.66,14.19,1.29,13.56,3.8,1.02,DSM,16.8,5.37991714,5.779763412,-0.399846272,1.319367316
B11,HP-47,GR,HP,27.54404831,27.42047501,0.174760386,H9,ACTB,18.93305016,18.94045258,0.010467255,33IJV22,B,STREAM,Rural,6/17/22,6,Rural,No,20.88,21.14,20.63,20.7,20.78,20.826,28.96,28.68,28.66,29.08,29.02,28.88,4.87,3.77,5.66,14.19,1.29,13.56,3.8,1.02,DSM,16.8,8.48002243,7.707023524,0.772998906,0.585199764
H11,HP-48,MR,HP,24.55138016,24.54447556,0.00976593,H11,ACTB,19.52845192,19.53543854,0.009881918,11TEF22,A,SVT,Urban,6/11/22,9,Urban,No,19.74,19.02,19.26,19.71,19.03,19.352,31.08,30.26,31.11,30.43,30.67,30.71,4.14,4.21,5.43,18.33,5.69,12.62,5.52,1.35,NM,10.9,5.00903702,5.779763412,-0.770726392,1.706128597
A9,HP-48,GR,HP,26.75495529,26.78121376,0.037135083,H11,ACTB,19.52845192,19.53543854,0.009881918,11TEF22,A,SVT,Urban,6/11/22,9,Urban,No,19.74,19.02,19.26,19.71,19.03,19.352,31.08,30.26,31.11,30.43,30.67,30.71,4.14,4.21,5.43,18.33,5.69,12.62,5.52,1.35,NM,10.9,7.24577522,7.707023524,-0.461248304,1.376732532
A1,HP-49,MR,HP,24.98673058,24.9814949,0.007405707,A1,ACTB,19.18672371,19.20432281,0.024887545,22IJV22,A,RAD,Urban.BHCO,6/12/22,9,Urban,Yes,19.84,19.33,19.23,19.82,19.41,19.526,36.79,36.63,36.84,36.74,36.74,36.748,4.65,4.51,4.7,21.8,10.74,12.69,7.86,2.4,NM,12.9,5.77717209,5.779763412,-0.002591321,1.001797781
A11,HP-49,GR,HP,26.94410324,27.02507401,0.114508607,A1,ACTB,19.18672371,19.20432281,0.024887545,22IJV22,A,RAD,Urban.BHCO,6/12/22,9,Urban,Yes,19.84,19.33,19.23,19.82,19.41,19.526,36.79,36.63,36.84,36.74,36.74,36.748,4.65,4.51,4.7,21.8,10.74,12.69,7.86,2.4,NM,12.9,7.8207512,7.707023524,0.113727676,0.924197008
A9,HP-5,MR,HP,24.89127922,24.86681175,0.034602225,A9,ACTB,19.09483528,19.11712837,0.031527191,01IJV22,A,SVT,Urban,5/15/22,5,Urban,No,16.28,16.37,15.52,15.67,15.5,15.868,18.84,18.87,19.43,18.79,19.36,19.058,3.87,3.35,4.34,8.02,0.3,7.77,2.49,0.64,DSM,9.9,5.74968338,5.779763412,-0.030080031,1.021068767
